site,activation_profile,adult_age_band,initial_total_adults,start_date,end_date,first_reproduction,peak_mobile_date,peak_mobile_population,peak_total_date,peak_total_population,final_population
knockrow,permissive,older,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,2065.3452454438075,2025-04-21,3431.4179128526307,380.6033078990639
knockrow,permissive,older,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,20653.452454438062,2025-04-21,34314.17912852629,3806.0330789906366
dorey,conservative,young,10.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,794.8251308479615,2025-04-01,1232.5047584322124,113.07357119702813
dorey,conservative,young,100.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,7948.25130847961,2025-04-01,12325.047584322114,1130.7357119702804
dorey,conservative,young,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,79482.51308479613,2025-04-01,123250.4758432212,11307.35711970281
dorey,conservative,mixed,10.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,479.21141352044674,2025-04-01,729.6418589578238,68.06106020103624
dorey,conservative,mixed,100.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,4792.114135204471,2025-04-01,7296.4185895782475,680.6106020103631
dorey,conservative,mixed,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-04-03,47921.14135204467,2025-04-01,72964.1858957824,6806.106020103624
dorey,conservative,older,10.0,2024-07-01,2025-06-30,2024-08-16,2025-03-30,41.391115331485906,2025-03-31,58.69532554497765,6.316045177631492
dorey,conservative,older,100.0,2024-07-01,2025-06-30,2024-08-16,2025-03-30,413.9111533148592,2025-03-31,586.9532554497765,63.160451776314936
dorey,conservative,older,1000.0,2024-07-01,2025-06-30,2024-08-16,2025-03-30,4139.11153314859,2025-03-31,5869.532554497763,631.604517763149
dorey,central,young,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,1032.499564738472,2025-04-07,1655.5328664248912,176.87848443901777
dorey,central,young,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,10324.995647384714,2025-04-07,16555.3286642489,1768.7848443901767
dorey,central,young,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,103249.95647384717,2025-04-07,165553.28664248908,17687.84844390177
dorey,central,mixed,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,626.0554323354114,2025-04-07,999.9708804349598,109.58474794001926
dorey,central,mixed,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,6260.554323354121,2025-04-07,9999.708804349604,1095.8474794001934
dorey,central,mixed,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-13,62605.54323354115,2025-04-07,99997.08804349597,10958.474794001926
dorey,central,older,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,94.7538605185323,2025-04-15,150.21297610846293,17.64271371066355
dorey,central,older,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,947.5386051853234,2025-04-15,1502.1297610846293,176.42713710663554
dorey,central,older,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-21,9475.386051853227,2025-04-15,15021.297610846286,1764.2713710663547
dorey,permissive,young,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,1379.5829933343189,2025-04-15,2257.554855607778,259.4067248823747
dorey,permissive,young,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,13795.829933343179,2025-04-15,22575.54855607776,2594.067248823745
dorey,permissive,young,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,137958.29933343185,2025-04-15,225755.48556077768,25940.672488237462
dorey,permissive,mixed,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,866.9225971991343,2025-04-21,1417.7129491952282,165.69235089640608
dorey,permissive,mixed,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,8669.225971991347,2025-04-21,14177.12949195229,1656.9235089640617
dorey,permissive,mixed,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,86692.25971991342,2025-04-21,141771.29491952277,16569.23508964061
dorey,permissive,older,10.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,206.53452454438073,2025-04-21,343.14179128526297,38.06033078990639
dorey,permissive,older,100.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,2065.3452454438075,2025-04-21,3431.4179128526307,380.6033078990639
dorey,permissive,older,1000.0,2024-07-01,2025-06-30,2024-07-01,2025-04-28,20653.452454438062,2025-04-21,34314.17912852629,3806.0330789906366
